,item_revenue,freight_value,total_order_value,contribution_proxy,freight_ratio,item_count,product_count,delivery_days,delivery_delay_days,review_score
item_revenue,1.0,0.4694087829294926,0.9897689627556773,0.9803514800182385,-0.7848229856026552,0.17804284245124063,0.11450469853991506,0.10111080133721141,-0.04459025912318367,-0.02910854029307141
freight_value,0.4694087829294926,1.0,0.566809563638705,0.3345429741757539,0.10332474219372136,0.377458355989451,0.21302841873503467,0.3816523509940697,-0.15642847224574544,-0.08859674872998119
total_order_value,0.9897689627556773,0.566809563638705,1.0,0.9452477765769144,-0.7064390812187472,0.22261819923942477,0.13644982588132623,0.14204308594619594,-0.06098404543227503,-0.039243575908083334
contribution_proxy,0.9803514800182385,0.3345429741757539,0.9452477765769144,1.0,-0.8672042683575327,0.11343171294412595,0.08195611328661925,0.047881297335420535,-0.023144270585634112,-0.015186096435340576
freight_ratio,-0.7848229856026552,0.10332474219372136,-0.7064390812187472,-0.8672042683575327,1.0,0.08342802481303,0.03247827059843703,0.1216003888972203,-0.04632922976982976,-0.03097687309551554
item_count,0.17804284245124063,0.377458355989451,0.22261819923942477,0.11343171294412595,0.08342802481303,1.0,0.5546398971421471,-0.025790526323153096,-0.037315819758870515,-0.10793308278568396
product_count,0.11450469853991506,0.21302841873503467,0.13644982588132623,0.08195611328661925,0.03247827059843703,0.5546398971421471,1.0,-0.037034122016460766,-0.052952773207358354,-0.0902899785770965
delivery_days,0.10111080133721141,0.3816523509940697,0.14204308594619594,0.047881297335420535,0.1216003888972203,-0.025790526323153096,-0.037034122016460766,1.0,0.3086450909231219,-0.23480054753086027
delivery_delay_days,-0.04459025912318367,-0.15642847224574544,-0.06098404543227503,-0.023144270585634112,-0.04632922976982976,-0.037315819758870515,-0.052952773207358354,0.3086450909231219,1.0,-0.17566941207881423
review_score,-0.02910854029307141,-0.08859674872998119,-0.039243575908083334,-0.015186096435340576,-0.03097687309551554,-0.10793308278568396,-0.0902899785770965,-0.23480054753086027,-0.17566941207881423,1.0
