customer_unique_id,orders,revenue,freight,contribution_proxy,avg_order_value,avg_review_score,customer_state,customer_type,contribution_margin_proxy
0000366f3b9a7992bf8c76cfdf3221e2,1,129.9,12.0,117.9,141.9,5.0,SP,One-time,0.9076212471131639
0000b849f77a49e4a4ce2b2a4ca5be3f,1,18.9,8.29,10.61,27.189999999999998,4.0,SP,One-time,0.5613756613756614
0000f46a3911fa3c0805444483337064,1,69.0,17.22,51.78,86.22,3.0,SC,One-time,0.7504347826086957
0000f6ccb0745a6a4b88665a16c9f078,1,25.99,17.63,8.36,43.62,4.0,PA,One-time,0.3216621777606772
0004aac84e0df4da2b147fca70cf8255,1,180.0,16.89,163.11,196.89,5.0,SP,One-time,0.9061666666666668
0004bd2a26a76fe21f786e4fbd80607f,1,154.0,12.98,141.02,166.98,4.0,SP,One-time,0.9157142857142858
00050ab1314c0e55a6ca13cf7181fecf,1,27.99,7.39,20.599999999999998,35.379999999999995,4.0,SP,One-time,0.735977134690961
00053a61a98854899e70ed204dd4bafe,1,382.0,37.18,344.82,419.18,1.0,PR,One-time,0.9026701570680629
0005e1862207bf6ccc02e4228effd9a0,1,135.0,15.12,119.88,150.12,4.0,RJ,One-time,0.888
0005ef4cd20d2893f0d9fbd94d3c0d97,1,104.9,24.86,80.04,129.76,1.0,MA,One-time,0.7630123927550048
0006fdc98a402fceb4eb0ee528f6a8d4,1,13.9,15.1,-1.1999999999999993,29.0,3.0,ES,One-time,-0.08633093525179851
00082cbe03e478190aadbea78542e933,1,79.0,47.26,31.740000000000002,126.25999999999999,5.0,SP,One-time,0.4017721518987342
00090324bbad0e9342388303bb71ba0a,1,49.95,13.71,36.24,63.660000000000004,5.0,SP,One-time,0.7255255255255255
000949456b182f53c18b68d6babc79c1,1,64.89,17.16,47.730000000000004,82.05,4.0,SP,One-time,0.7355524734165512
000a5ad9c4601d2bbdd9ed765d5213b3,1,76.99,14.29,62.699999999999996,91.28,4.0,RS,One-time,0.8143914794129108
000bfa1d2f1a41876493be685390d6d3,1,35.0,11.85,23.15,46.85,4.5,SP,One-time,0.6614285714285714
000c8bdb58a29e7115cfc257230fb21b,1,13.9,15.1,-1.1999999999999993,29.0,5.0,MG,One-time,-0.08633093525179851
000d460961d6dbfa3ec6c9f5805769e1,1,28.9,7.78,21.119999999999997,36.68,5.0,SP,One-time,0.730795847750865
000de6019bb59f34c099a907c151d855,1,229.8,27.64,202.16000000000003,257.44,2.0,SP,One-time,0.879721496953873
000e309254ab1fc5ba99dd469d36bdb4,1,59.9,18.52,41.379999999999995,78.42,3.0,GO,One-time,0.6908180300500835
000ec5bff359e1c0ad76a81a45cb598f,1,14.96,12.79,2.1700000000000017,27.75,5.0,SP,One-time,0.14505347593582898
000ed48ceeb6f4bf8ad021a10a3c7b43,1,12.88,7.87,5.010000000000001,20.75,5.0,SP,One-time,0.38897515527950316
000fbf0473c10fc1ab6f8d2d286ce20c,1,285.8,76.56,209.24,362.36,5.0,SP,One-time,0.7321203638908328
0010a452c6d13139e50b57f19f52e04e,1,299.0,26.93,272.07,325.93,1.0,RS,One-time,0.9099331103678929
0010fb34b966d44409382af9e8fd5b77,1,49.95,11.85,38.1,61.800000000000004,4.0,SP,One-time,0.7627627627627628
001147e649a7b1afd577e873841632dd,1,170.0,42.16,127.84,212.16,4.0,PR,One-time,0.752
00115fc7123b5310cf6d3a3aa932699e,1,59.99,16.12,43.870000000000005,76.11,4.0,DF,One-time,0.7312885480913486
0011805441c0d1b68b48002f1d005526,1,269.0,28.14,240.86,297.14,3.0,PA,One-time,0.8953903345724907
0011857aff0e5871ce5eb429f21cdaf5,1,174.33,18.5,155.83,192.83,5.0,SP,One-time,0.8938794240807664
0011c98589159d6149979563c504cb21,1,99.99,17.95,82.03999999999999,117.94,5.0,MG,One-time,0.8204820482048204
0012929d977a8d7280bb277c1e5f589d,1,129.9,25.75,104.15,155.65,1.0,RS,One-time,0.8017705927636644
0014a5a58da615f7b01a4f5e194bf5ea,1,88.0,11.82,76.18,99.82,5.0,SP,One-time,0.8656818181818182
0015752e079902b12cd00b9b7596276b,1,59.8,15.02,44.78,74.82,5.0,SP,One-time,0.7488294314381272
00172711b30d52eea8b313a7f2cced02,1,74.5,47.57,26.93,122.07,4.0,BA,One-time,0.36147651006711407
00191a9719ef48ebb5860b130347bf33,1,47.9,10.96,36.94,58.86,3.0,SP,One-time,0.7711899791231732
001926cef41060fae572e2e7b30bd2a4,1,48.79,42.42,6.369999999999997,91.21000000000001,4.0,MT,One-time,0.13055954088952648
001928b561575b2821c92254a2327d06,1,136.89000000000001,27.919999999999998,108.97000000000001,164.81,2.0,SP,One-time,0.796040616553437
00196c4c9a3af7dd2ad10eade69c926f,1,22.32,15.26,7.0600000000000005,37.58,5.0,SP,One-time,0.3163082437275986
00196fdb2bf9edfc35e88ebfbcf8d781,1,12.9,14.1,-1.1999999999999993,27.0,3.0,RS,One-time,-0.09302325581395343
0019da6aa6bcb27cc32f1249bd12da05,1,79.9,7.81,72.09,87.71000000000001,1.0,SP,One-time,0.902252816020025
0019e8c501c85848ac0966d45226fa1d,1,159.99,37.28,122.71000000000001,197.27,5.0,MT,One-time,0.7669854365897869
001a2bf0e46c684031af91fb2bce149d,1,24.88,11.85,13.03,36.73,4.0,SP,One-time,0.5237138263665595
001a34eb30ecb8e3aacb07c475ca4dd1,1,151.9,9.81,142.09,161.71,5.0,SP,One-time,0.9354180381830152
001a3a8e11d76c9a366c31a4aa2cc529,1,9.0,15.23,-6.23,24.23,5.0,RS,One-time,-0.6922222222222223
001ae44fa04911a9e9577356dce6c63c,1,99.9,16.33,83.57000000000001,116.23,,SP,One-time,0.8365365365365366
001ae5a1788703d64536c30362503e49,1,89.99,45.09,44.89999999999999,135.07999999999998,5.0,RJ,One-time,0.4989443271474608
001deb796b28a3a128d6113857569aa4,1,39.9,23.43,16.47,63.33,4.0,RJ,One-time,0.412781954887218
001f3c4211216384d5fe59b041ce1461,1,24.88,10.96,13.919999999999998,35.84,3.0,SP,One-time,0.5594855305466238
002043098f10ba39a4600b6c52fbfe3c,1,176.99,60.82,116.17000000000002,237.81,4.0,SE,One-time,0.6563647663709815
002311514717ca8b65b09a26cdf7b91a,1,116.25,8.07,108.18,124.32,5.0,SP,One-time,0.9305806451612904
0023557a94bef0038066b5d1b3dc763e,1,89.9,17.54,72.36000000000001,107.44,3.0,SP,One-time,0.8048943270300335
002471155ecd08d208d1376720e2a907,1,68.9,23.28,45.620000000000005,92.18,5.0,SC,One-time,0.6621190130624093
00256bf7b05c08f6a5849df3d0a64f1f,1,39.5,18.23,21.27,57.730000000000004,3.0,SP,One-time,0.5384810126582278
0025795df7a7d077c4c90162fa820085,1,177.9,36.18,141.72,214.08,1.0,SP,One-time,0.7966273187183811
